Ref,Val,Package,PosX,PosY,Rot,Side
"D22","D_Small","D_SOD-123",272.256250,7.875000,270.000000,bottom
"D23","D_Small","D_SOD-123",291.306250,7.875000,270.000000,bottom
"D24","D_Small","D_SOD-123",310.356250,7.875000,270.000000,bottom
"D25","D_Small","D_SOD-123",329.406250,7.875000,270.000000,bottom
"D26","D_Small","D_SOD-123",348.456250,7.875000,270.000000,bottom
"D27","D_Small","D_SOD-123",372.350000,7.875000,270.000000,bottom
"D28","D_Small","D_SOD-123",405.606250,7.875000,270.000000,bottom
"D29","D_Small","D_SOD-123",424.656250,7.875000,270.000000,bottom
"D30","D_Small","D_SOD-123",443.706250,7.875000,270.000000,bottom
"D31","D_Small","D_SOD-123",167.481250,-11.175000,270.000000,bottom
"D32","D_Small","D_SOD-123",186.531250,-11.175000,270.000000,bottom
"D33","D_Small","D_SOD-123",205.581250,-11.175000,270.000000,bottom
"D34","D_Small","D_SOD-123",224.631250,-11.175000,270.000000,bottom
"D35","D_Small","D_SOD-123",243.681250,-11.175000,270.000000,bottom
"D36","D_Small","D_SOD-123",262.731250,-11.175000,270.000000,bottom
"D37","D_Small","D_SOD-123",281.781250,-11.175000,270.000000,bottom
"D38","D_Small","D_SOD-123",300.831250,-11.175000,270.000000,bottom
"D39","D_Small","D_SOD-123",319.881250,-11.175000,270.000000,bottom
"D40","D_Small","D_SOD-123",338.931250,-11.175000,270.000000,bottom
"D41","D_Small","D_SOD-123",357.981250,-11.175000,270.000000,bottom
"D42","D_Small","D_SOD-123",377.031250,-11.175000,270.000000,bottom
"D43","D_Small","D_SOD-123",405.606250,-11.175000,270.000000,bottom
"D44","D_Small","D_SOD-123",424.656250,-11.175000,270.000000,bottom
"D45","D_Small","D_SOD-123",443.706250,-11.175000,270.000000,bottom
"D46","D_Small","D_SOD-123",238.918750,-30.225000,270.000000,bottom
"D47","D_Small","D_SOD-123",261.143750,-30.225000,270.000000,bottom
"D48","D_Small","D_SOD-123",296.100000,-30.200000,270.000000,bottom
"D49","D_Small","D_SOD-123",157.956250,-30.225000,270.000000,bottom
"D50","D_Small","D_SOD-123",177.006250,-30.225000,270.000000,bottom
"D51","D_Small","D_SOD-123",196.056250,-30.225000,270.000000,bottom
"D52","D_Small","D_SOD-123",334.168750,-30.225000,270.000000,bottom
"D53","D_Small","D_SOD-123",353.218750,-30.225000,270.000000,bottom
"D54","D_Small","D_SOD-123",372.000000,-30.250000,270.000000,bottom
"D55","D_Small","D_SOD-123",405.606250,-30.225000,270.000000,bottom
"D56","D_Small","D_SOD-123",424.656250,-30.225000,270.000000,bottom
