Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D34,D_Small,D_SOD-123,224.63125,-11.175,270,bottom
D35,D_Small,D_SOD-123,243.68125,-11.175,270,bottom
D36,D_Small,D_SOD-123,262.73125,-11.175,270,bottom
D37,D_Small,D_SOD-123,281.78125,-11.175,270,bottom
D38,D_Small,D_SOD-123,300.83125,-11.175,270,bottom
D39,D_Small,D_SOD-123,319.88125,-11.175,270,bottom
D40,D_Small,D_SOD-123,338.93125,-11.175,270,bottom
D41,D_Small,D_SOD-123,357.98125,-11.175,270,bottom
D42,D_Small,D_SOD-123,377.03125,-11.175,270,bottom
D43,D_Small,D_SOD-123,405.60625,-11.175,270,bottom
D44,D_Small,D_SOD-123,424.65625,-11.175,270,bottom
D45,D_Small,D_SOD-123,443.70625,-11.175,270,bottom
D46,D_Small,D_SOD-123,238.91875,-30.225,270,bottom
D47,D_Small,D_SOD-123,261.14375,-30.225,270,bottom
D48,D_Small,D_SOD-123,296.1,-30.2,270,bottom
D49,D_Small,D_SOD-123,157.95625,-30.225,270,bottom
D50,D_Small,D_SOD-123,177.00625,-30.225,270,bottom
D51,D_Small,D_SOD-123,196.05625,-30.225,270,bottom
D52,D_Small,D_SOD-123,334.16875,-30.225,270,bottom
D53,D_Small,D_SOD-123,353.21875,-30.225,270,bottom
D54,D_Small,D_SOD-123,372,-30.25,270,bottom
D55,D_Small,D_SOD-123,405.60625,-30.225,270,bottom
D56,D_Small,D_SOD-123,424.65625,-30.225,270,bottom
D57,D_Small,D_SOD-123,443.70625,-30.225,270,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric,386.275,20.8625,90,bottom
R1,220,R_0402_1005Metric,383.75,1.485,270,bottom
R2,22,R_0603_1608Metric,374.6,-27.8875,90,bottom
R3,22,R_0603_1608Metric,376.2,-27.9,90,bottom
R4,10K,R_0603_1608Metric,384.943153,-26.843153,315,bottom
R5,10K,R_0603_1608Metric,382.843153,-39.756847,45,bottom
R6,5.1k,R_0603_1608Metric,379.575,21.575,90,bottom
R7,5.1k,R_0603_1608Metric,384.075,21.675,90,bottom
R8,220,R_0402_1005Metric,380.65,-2.315,270,bottom
SW1,SW_Push,SKQG-1155865,383.15,-15.8,90,bottom
U1,ATmega32U4-MU,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,381.8,-33.519239,315,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,381.575,33.9625,0,bottom
Y1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm,381.8875,-23.3625,0,bottom
